score,review
1,good rates quick  easy only took minutes
1,Fast easy service    good prices 
1,Great service
1,No waiting time to reach a representative  And the representative was very efficient 
1,We have dealt with snowbird advisor insurance several l times  Always been very satisfied  This time I was concerned about cancellation insurance since a family member recently lost a fair chunk of money  The agent was very helpful and professional  We had everything in place in not time and the quote was lower than that from my CIBC Visa 
1,Good rates and the entire process was quick and easy 
1,The online questions are not excessive and reasonable  The process is better than CAA s and RBC s  Got the quote within    minutes and paid for it online  The price is at least     better in our case 
1,The agent I spoke to was very helpful
1,price very competetive     easy site to navigate
1,So easy for us to navigate 
1,the process was simple  excellent operator going through the health questions  great value 
1,We have taken advantage of two of the programs and find the information on the website valuable and interesting 
1,The online questionnaire was simple and easy to fill out  My overall experience was excellent 
1,I like that there is no stability period
1,Quick and easy online application  very competitive pricing  lots of options 
1,easy to manage
1,We have trusted Snowbird out of country health insurance for many years but fortunately we have had no claims which is a very good thing  Health questionnaire for over    is the clearest of other insurance companies 
1,Expertise of staff is excellent 
1,Easy to navigate and reasonable prices 
1,People on the phone very helpful and knowledgeable  Travel insurance quite complicated  and it is so great to deal with people who know what they are doing  Thank you 
1,Simple and easy   
1,Very efficient staff  Easy process  Best price by far 
-1,All questions were answered  It was however disappointing that the final amount was more than what was originally quoted
1,The representative we dealt with was very friendly  knowledgeable and helpful 
-1,Some of the questions asked on the application are not relevant personally but there is no indication for exemption  In other words there should be a box to check off if not relevant 
-1,Long period of continually asking for more forms and info    months since original claim was filed  Still no approval 
0,Professional Service by
1,I deal with Tim and he is so helpful  knowledgable and patient 
1,The agent was very helpful  knowledgeable and patient  He did a great job of explaining coverage to us and how the coverage worked 
1,The insurance sales agent was friendly and answered all of my questions  He went through the medical questions efficiently  The insurance payment process was also very easy 
1,Great customer service Prices
1,Helpful  friendly and patient customer service reps  Reasonable pricing and coverage for pre existing medical conditions 
1,On line process was quick and easy to understand and complete  Call to agent for clarification of coverage was quickly answered agent was very helpful 
1,Prices are very reasonable Easy to understand
1,This is my third time I getting coverage and I m satisfied with the service
1,Good service and fair price 
1,So easy to get the insurance online  Excellent coverage and the price is the best we found 
1,Very easy to apply  Best price 
1,Very helpful and patient agents
1,Jodi was very helpful  I recommend this company and will use them again  She was very kind and informative 
1,Great service
1,Quick and easy to fill out application  Approval and quote within seconds  Once purchased  the policy and details were sent by email within minutes 
1,The online quote and purchase process was easy to follow and provides clear instructions The price for coverage is very reasonable and the support line answers the call quickly with knowledgeable advice This is the second time we have purchased a plan through Snowbird advisor and are quite happy with the product 
0,The advisor was very knowledgeable on the insurance that I needed 
1,Online quote easy to work with 
1,rep was very clear in explaining things to me that i did not understand 
1,I always get to talk to a real person promptly and don t have to go through    menu items to get there  So rare these days and so appreciated 
1,Friendly and informative service
0,The phone was answered promptly and the agent answered all my questions
1,Agent was great   the price has been inflated dramatically from previous year  more than double  That s just gouging by the insurance companies 
1,Excellent customer service  The policy was explained very well in a way that I could understand  even though I had many questions they were always able to answer them 
-1,The service representative was great  The person was patient  helpful and friendly  I do have one suggestion which is for all companies who offer travel insurance  Many of us have separate emergency medical insurance already  We are looking for trip cancellation  trip interruption  and baggage lost and or delayed coverage as a conclusive package  No company offers such an inclusive trip cancellation  trip interruption  baggage lost delayed without the medical coverage  Snowbirds Advisor Insurance  why not be the first 
1,Friendly phone attendant  quick quote provided  Thanks 
1,The person I spoke with was very helpful and spent time to explain everything to me 
0,Able to complete all in one phone call 
1,Great communication  Careful listening to understand our needs  Careful explanation of how our needs could be met  Careful explanation of advantage of underwritten policies  Positive outcome of coverage 
1,Each person we have dealt with has been great  Courteous  helpful  great suggestions and well informed  We used to be with Medipac for years  We prefer this company 
1,Straightforward process  competitive rates and easy to follow 
1,Customer service is excellent  representatives are very courteous and patient  They are very thorough 
1,This was my third time purchasing a policy and it was not a good experience  First I tried the online application  as I had in the past  and things kept freezing  So I called  got a quote and said I would continue searching  Called back to purchase the policy as quoted  and the rep  I had asked for Adam as that was the name I had written  was not the original one  This fellow was basically unintelligible  and garbled to the point the he sounded impaired  As a result he could not locate the quote even with a file   and said he would get back to me  In the meantime  I went back online and successfully obtained the required insurance  To his credit  he did call me back to ask if I actually got a quote from  us  as he couldn t find it  Told him not worry as I had already made the purchase  You provide great policies  but do need to better screen your sales reps 
1,The customer agent was very nice and helpful she went through all the medical questions and explained when I asked
1,Our customer service representative was wonderful
1,Fast efficient service
1,Easy to answering to the questioner  Friendly people who answered to questions and give the valuable information 
1,Crystal was very helpful and friendly on the phone
1,The online enrolment process was extremely easy to follow for a senior like myself  The premium was very competitive too 
1,The rep  was helpful and polite  It took very little time to complete the process and have the policy info in my inbox 
1,Easy and efficient
1,Price was good
1,Best price I could find  One can only rate any insurance based on when if a claim is needed  Until then  it s a gamble with any company 
1,Call was answered quickly by a live person  All staff were polite  friendly and helpful  The ability to input the credit card to pay for the policy was over the top useless  Declined my card after each try  Had to call my bank    that call was a twenty min wait  then had to transferred to someone else  another ten min wait  Found that because there was an error in the first time i entered my card number  tour system would not let any or the other entries go through so all declined   If the system is intended to be used that way to recieve credit card numbers  it is not worth it 
0,Customer Service Reps very patient to explain products
1,I spoke to a very helpful person  who guided me through the whole process and made processing and paying very easy
1,My wife spoke with Erica who was very congenial and helpful She made the conversation very easy This is the third time we have used Snowbird Insurance but luckily have not had to make a claim
1,All customer agents were professional and very knowledgeable in advising insurance needs that best suited my situation  Also  believe Snowbird Advisor may offer a competitive edge over other available options 
1,Convenient and effective way to get travel insurance for people within the stability period  Reasonably priced and friendly  no pressure company representatives 
1,Great value  Very easy to apply online and print policy from the comfort of your home  Prices are reasonable and affordable 
1,She just made it easy
1,Excellent  Have purchased previously  Fortunately have not had a claim  but reassuring that Snowbird has me covered  Ease of completing the online application
1,Easy navigation  information was understandable  good stuff 
1,Snowbird advisor was very quick to respond to our needs  The process was effortless and provided what we needed to extend our vacation  The agent was very helpful and pleasant to deal with 
0,It happened
1,The online application was very user friendly especially for an elderly person
0,Immediate service and a knowledgeable and polite representative named Samantha
1,What made my experience Great was Jos   the representative that answered the phone  He took his time he was patient and empathetic very knowledgeable  He clarified any questions I had after trying to do the online form  He took the time to do it over the phone with me to make sure it was done  right  So at that point I was very impressed with the company  I did forward additional information just in case to make sure I was covered in the next representative that I talked to Wasn t as helpful as Jose so I ll have to contact the company again which was frustrating  But I will say  Jose is an asset to your company  and it was a pleasure talking with him 
1,Very knowledgeable and had great advice
1,Understanding my situation since I have macular degeneration and often instead of reading something I like to have explained to me  This was down very well 
1,Jenny was very helpful 
-1,Everything was fine  I have used Snowbird Insurance before  My only problem is that I find it expensive 
1,The advisor was very efficient   friendly
1,Very pleasant and knowledgeable staff Easy to understand previous conditions
1,It was fast and easy to do  and the price was right for this trip for emergency medical 
1,Good communication   comprehension from your staff 
1,I have previously used Snowbird Advisor insurance  It was an easy process over the phone  My representative was friendly and very professional 
1,I was happy with the policy and coverage 
1,Easy to use the application site 
-1,Willing to make changes for my unforseen situation with no financial implications  Personable phone experience  was not rushed  Good pricing  The questinnaire was short and simple  I have experienced some convoluted questions with other isurers   would definitely reccommed and be a customer in the future 
1,First time using Snowbirds Advisor Insurance quick and easy over the phone happy with the price feel comfortable to travel with this company
0,Go the insurance for me fast and down to earth
1,my agent made it very very easy to obtain insurance for myself and my husband  FAIRLY GOOD RATES
1,So far  the experience has been great  The agent I dealt with  Crystal   was excellent  Very patient  understanding  knowledgeable  and very personable 
1,Got to talk to someone right away  which is unusual these days     very much appreciated  The sales representative very professional and helpful 
1,Easy shopping   great price 
1,Tiffany was very patient and informed  Pleasant experience for sure
1,Knowledgeable and helpful
1,Your rep Assia was extremely helpful And patient for us to understand everything You prices are very competitive Same experience last year when we booked with you 
1,I am impressed with the policy that we purchased  It is perfect for seniors 
1,The agent that assisted us was personable  knowledgeable and efficient 
0,Interviewers knew their stuff
1,The representative was professional  courteous and expedient 
1,Best price out there for    YO traveller with no health issues or medications  easy to complete application and purchase 
1,Online easy to follow instructions  Great price 
1,Courteous on the phone  spent time answering my multiple questions  provided a quote  explained health questionnaire  good annual fee with availability to purchase top up days as my travels will be over    days
1,my questions were answered promptly and to sign up for the insurance was good and fast Thank you  Elke
