,score,review,date,pos,neg,neu,compound,year,month
0,1,good rates quick  easy only took minutes,2023-01-31,0.537,0.0,0.463,0.7003,2023,2023-01
1,1,Fast easy service    good prices ,2023-12-30,0.659,0.0,0.341,0.7003,2023,2023-12
2,1,Great service,2022-05-10,0.804,0.0,0.196,0.6249,2022,2022-05
3,1,No waiting time to reach a representative  And the representative was very efficient ,2023-07-18,0.256,0.134,0.61,0.2484,2023,2023-07
4,1,We have dealt with snowbird advisor insurance several l times  Always been very satisfied  This time I was concerned about cancellation insurance since a family member recently lost a fair chunk of money  The agent was very helpful and professional  We had everything in place in not time and the quote was lower than that from my CIBC Visa ,2023-02-04,0.166,0.065,0.768,0.7897,2023,2023-02
5,1,Good rates and the entire process was quick and easy ,2022-12-31,0.42,0.0,0.58,0.7003,2022,2022-12
6,1,The online questions are not excessive and reasonable  The process is better than CAA s and RBC s  Got the quote within    minutes and paid for it online  The price is at least     better in our case ,2022-11-10,0.142,0.0,0.858,0.7003,2022,2022-11
7,1,The agent I spoke to was very helpful,2020-05-01,0.306,0.0,0.694,0.4754,2020,2020-05
8,1,price very competetive     easy site to navigate,2021-04-11,0.346,0.0,0.654,0.4902,2021,2021-04
9,1,So easy for us to navigate ,2023-05-23,0.39,0.0,0.61,0.4927,2023,2023-05
10,1,the process was simple  excellent operator going through the health questions  great value ,2020-11-26,0.505,0.0,0.495,0.8807,2020,2020-11
11,1,We have taken advantage of two of the programs and find the information on the website valuable and interesting ,2020-03-28,0.328,0.0,0.672,0.7783,2020,2020-03
12,1,The online questionnaire was simple and easy to fill out  My overall experience was excellent ,2023-10-28,0.337,0.0,0.663,0.765,2023,2023-10
13,1,I like that there is no stability period,2023-01-28,0.234,0.206,0.561,0.0772,2023,2023-01
14,1,Quick and easy online application  very competitive pricing  lots of options ,2022-05-21,0.352,0.0,0.648,0.5984,2022,2022-05
15,1,easy to manage,2020-05-10,0.592,0.0,0.408,0.4404,2020,2020-05
16,1,We have trusted Snowbird out of country health insurance for many years but fortunately we have had no claims which is a very good thing  Health questionnaire for over    is the clearest of other insurance companies ,2023-08-25,0.15,0.066,0.783,0.5483,2023,2023-08
17,1,Expertise of staff is excellent ,2022-02-08,0.481,0.0,0.519,0.5719,2022,2022-02
18,1,Easy to navigate and reasonable prices ,2020-12-09,0.367,0.0,0.633,0.4404,2020,2020-12
19,1,People on the phone very helpful and knowledgeable  Travel insurance quite complicated  and it is so great to deal with people who know what they are doing  Thank you ,2023-12-08,0.294,0.0,0.706,0.8964,2023,2023-12
20,1,Simple and easy   ,2022-03-16,0.592,0.0,0.408,0.4404,2022,2022-03
21,1,Very efficient staff  Easy process  Best price by far ,2021-01-20,0.635,0.0,0.365,0.8874,2021,2021-01
22,-1,All questions were answered  It was however disappointing that the final amount was more than what was originally quoted,2023-04-30,0.0,0.151,0.849,-0.4939,2023,2023-04
23,1,The representative we dealt with was very friendly  knowledgeable and helpful ,2022-08-13,0.411,0.0,0.589,0.7425,2022,2022-08
24,-1,Some of the questions asked on the application are not relevant personally but there is no indication for exemption  In other words there should be a box to check off if not relevant ,2020-10-03,0.0,0.08,0.92,-0.4215,2020,2020-10
25,-1,Long period of continually asking for more forms and info    months since original claim was filed  Still no approval ,2023-03-30,0.105,0.117,0.778,-0.0654,2023,2023-03
26,0,Professional Service by,2021-04-04,0.0,0.0,1.0,0.0,2021,2021-04
27,1,I deal with Tim and he is so helpful  knowledgable and patient ,2023-08-30,0.247,0.0,0.753,0.5598,2023,2023-08
28,1,The agent was very helpful  knowledgeable and patient  He did a great job of explaining coverage to us and how the coverage worked ,2020-01-22,0.255,0.0,0.745,0.8016,2020,2020-01
29,1,The insurance sales agent was friendly and answered all of my questions  He went through the medical questions efficiently  The insurance payment process was also very easy ,2020-09-09,0.275,0.0,0.725,0.8439,2020,2020-09
30,1,Great customer service Prices,2022-01-17,0.577,0.0,0.423,0.6249,2022,2022-01
31,1,Helpful  friendly and patient customer service reps  Reasonable pricing and coverage for pre existing medical conditions ,2022-05-06,0.3,0.0,0.7,0.7184,2022,2022-05
32,1,On line process was quick and easy to understand and complete  Call to agent for clarification of coverage was quickly answered agent was very helpful ,2021-04-19,0.207,0.0,0.793,0.7178,2021,2021-04
33,1,Prices are very reasonable Easy to understand,2022-12-18,0.346,0.0,0.654,0.4902,2022,2022-12
34,1,This is my third time I getting coverage and I m satisfied with the service,2021-05-25,0.167,0.0,0.833,0.4215,2021,2021-05
35,1,Good service and fair price ,2021-11-30,0.634,0.0,0.366,0.6369,2021,2021-11
36,1,So easy to get the insurance online  Excellent coverage and the price is the best we found ,2022-09-02,0.442,0.0,0.558,0.902,2022,2022-09
37,1,Very easy to apply  Best price ,2020-07-08,0.649,0.0,0.351,0.8122,2020,2020-07
38,1,Very helpful and patient agents,2022-08-15,0.436,0.0,0.564,0.4754,2022,2022-08
39,1,Jodi was very helpful  I recommend this company and will use them again  She was very kind and informative ,2021-11-17,0.374,0.0,0.626,0.8608,2021,2021-11
40,1,Great service,2022-08-15,0.804,0.0,0.196,0.6249,2022,2022-08
41,1,Quick and easy to fill out application  Approval and quote within seconds  Once purchased  the policy and details were sent by email within minutes ,2021-07-16,0.214,0.0,0.786,0.7184,2021,2021-07
42,1,The online quote and purchase process was easy to follow and provides clear instructions The price for coverage is very reasonable and the support line answers the call quickly with knowledgeable advice This is the second time we have purchased a plan through Snowbird advisor and are quite happy with the product ,2023-06-21,0.203,0.0,0.797,0.9041,2023,2023-06
43,0,The advisor was very knowledgeable on the insurance that I needed ,2022-04-11,0.0,0.0,1.0,0.0,2022,2022-04
44,1,Online quote easy to work with ,2023-02-28,0.367,0.0,0.633,0.4404,2023,2023-02
45,1,rep was very clear in explaining things to me that i did not understand ,2021-10-08,0.182,0.0,0.818,0.4391,2021,2021-10
46,1,I always get to talk to a real person promptly and don t have to go through    menu items to get there  So rare these days and so appreciated ,2020-01-21,0.132,0.0,0.868,0.6418,2020,2020-01
47,1,Friendly and informative service,2022-04-20,0.516,0.0,0.484,0.4939,2022,2022-04
48,0,The phone was answered promptly and the agent answered all my questions,2020-06-15,0.0,0.0,1.0,0.0,2020,2020-06
49,1,Agent was great   the price has been inflated dramatically from previous year  more than double  That s just gouging by the insurance companies ,2023-07-21,0.157,0.0,0.843,0.6249,2023,2023-07
50,1,Excellent customer service  The policy was explained very well in a way that I could understand  even though I had many questions they were always able to answer them ,2021-01-22,0.184,0.0,0.816,0.7264,2021,2021-01
