"good rates,quick @easy,only took minutes","Date of experience: March 27, 2025"
"good rates,quick @easy,only took minutes","Date of experience: March 27, 2025"
Fast easy service....good prices.,"Date of experience: March 26, 2025"
Great service,"Date of experience: March 26, 2025"
No waiting time to reach a representative,"No waiting time to reach a representative.
And the representative was very efficient."
Superb service and rates better than most places,"We have dealt with snowbird advisor insurance several
l times. Always been very satisfied. This time I was concerned about cancellation insurance since a family member recently lost a fair chunk of money. The agent was very helpful and professional. We had everything in place in not time and the quote was lower than that from my CIBC Visa."
Good rates and easy to apply,Good rates and the entire process was quick and easy.
Simple and fast online process and great rates,The online questions are not excessive and reasonable. The process is better than CAA's and RBC's. Got the quote within 10 minutes and paid for it online. The price is at least 10% better in our case.
The agent I spoke to was very helpful,The agent I spoke to was very helpful
price very competetive ....easy site to…,price very competetive ....easy site to navigate
So easy for us to navigate.,"Date of experience: March 21, 2025"
the process was simple,"the process was simple. excellent operator going through the health questions, great value."
Absolutely check out the group programs!,We have taken advantage of two of the programs and find the information on the website valuable and interesting.
The online questionnaire was simple and…,The online questionnaire was simple and easy to fill out. My overall experience was excellent!
I like that there is no stability period,I like that there is no stability period
"Easy online application, lots of options","Quick and easy online application, very competitive pricing, lots of options."
easy to manage,"Date of experience: March 18, 2025"
Snowbird Insurance is best!,"We have trusted Snowbird out of country health insurance for many years but fortunately we have had no claims which is a very good thing.
Health questionnaire for over 60 is the clearest of other insurance companies."
Expertise of staff is excellent.,"Date of experience: March 18, 2025"
Easy to navigate and reasonable prices.,"Date of experience: March 13, 2025"
People on the phone very helpful and…,"People on the phone very helpful and knowledgeable. Travel insurance quite complicated, and it is so great to deal with people who know what they are doing.
Thank you."
Simple and easy!!!,"Date of experience: March 16, 2025"
Very efficient staff,Very efficient staff. Easy process. Best price by far.
All questions were answered,All questions were answered. It was however disappointing that the final amount was more than what was originally quoted
Travel Insurance,"The representative we dealt with was very friendly, knowledgeable and helpful."
confusing application,Some of the questions asked on the application are not relevant personally but there is no indication for exemption. In other words there should be a box to check off if not relevant.
Too long…,Long period of continually asking for more forms and info. 4 months since original claim was filed. Still no approval.
Professional Service,Professional Service by
I deal with Tim and he is so helpful,"I deal with Tim and he is so helpful, knowledgable and patient!"
The agent was great,"The agent was very helpful, knowledgeable and patient. He did a great job of explaining coverage to us and how the coverage worked."
Friendly and efficient travel medical insurance application,The insurance sales agent was friendly and answered all of my questions. He went through the medical questions efficiently. The insurance payment process was also very easy.
Great customer service,"Great customer service
Prices"
Helpful and informative,"Helpful, friendly and patient customer service reps. Reasonable pricing and coverage for pre-existing medical conditions."
On line process Great Customer Service was quick and easy to…,On line process was quick and easy to understand and complete. Call to agent for clarification of coverage was quickly answered agent was very helpful.
Prices are very reasonable Easy to…,Prices are very reasonable Easy to understand
